timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220116T1900,3.2605286,0.271
20220116T2000,3.5505285,0.271
20220116T2100,3.5105286,0.271
20220116T2200,3.3905284,0.271
20220116T2300,2.9405286,0.27
20220117T0000,3.2605286,0.271
20220117T0100,4.0805287,0.271
20220117T0200,4.290529,0.271
20220117T0300,4.1705284,0.27
20220117T0400,4.2305284,0.27
20220117T0500,4.040529,0.271
20220117T0600,3.6705287,0.271
20220117T0700,3.4805286,0.271
20220117T0800,3.7905285,0.271
20220117T0900,4.6805286,0.271
20220117T1000,5.5705285,0.27
20220117T1100,6.3605285,0.27
20220117T1200,6.3905287,0.266
20220117T1300,6.7405286,0.265
20220117T1400,6.8405285,0.264
20220117T1500,6.5205283,0.264
20220117T1600,5.4505286,0.263
20220117T1700,4.0505285,0.263
20220117T1800,3.1905286,0.263
20220117T1900,2.8805285,0.263
20220117T2000,2.9505286,0.263
20220117T2100,3.3305285,0.264
20220117T2200,3.2005286,0.264
20220117T2300,3.0205286,0.264
20220118T0000,2.8305285,0.264
20220118T0100,2.6305285,0.264
20220118T0200,1.6805286,0.264
20220118T0300,0.6905287,0.264
20220118T0400,0.99052864,0.264
20220118T0500,0.6905287,0.264
20220118T0600,0.7605287,0.264
20220118T0700,0.30052868,0.264
20220118T0800,0.60052866,0.264
20220118T0900,1.6305287,0.264
20220118T1000,3.8905284,0.264
20220118T1100,5.5505285,0.264
20220118T1200,6.2605286,0.268
20220118T1300,6.8005285,0.268
20220118T1400,6.7305284,0.267
20220118T1500,6.1905284,0.267
20220118T1600,4.8405285,0.267
20220118T1700,3.3905284,0.267
20220118T1800,2.3105285,0.267
20220118T1900,1.5505286,0.267
20220118T2000,0.86052865,0.267
20220118T2100,0.73052865,0.267
20220118T2200,0.5805287,0.267
20220118T2300,0.30052868,0.266
20220119T0000,0.18052867,0.266
20220119T0100,0.25052866,0.266
20220119T0200,-0.38947132,0.266
20220119T0300,-0.82947135,0.266
20220119T0400,-1.0094713,0.266
20220119T0500,-0.9894713,0.266
20220119T0600,-0.83947134,0.266
20220119T0700,-0.82947135,0.266
20220119T0800,-0.069471344,0.266
20220119T0900,2.4705286,0.266
20220119T1000,5.5205283,0.266
20220119T1100,5.290529,0.266
20220119T1200,6.4605284,0.268
20220119T1300,7.3505287,0.268
20220119T1400,7.3005285,0.267
20220119T1500,6.5805287,0.267
20220119T1600,5.1005287,0.267
20220119T1700,3.5905285,0.267
20220119T1800,2.6005285,0.266
20220119T1900,1.8905287,0.266
20220119T2000,1.7705287,0.266
20220119T2100,2.0205286,0.267
20220119T2200,2.2705286,0.267
20220119T2300,2.3005285,0.267
20220120T0000,2.2905285,0.267
20220120T0100,2.6205285,0.267
20220120T0200,2.4605286,0.267
20220120T0300,2.4105287,0.268
20220120T0400,2.2905285,0.27
20220120T0500,1.6005287,0.275
20220120T0600,1.6505287,0.277
20220120T0700,1.3105286,0.279
20220120T0800,1.5305287,0.28
20220120T0900,2.6305285,0.28
20220120T1000,3.4005284,0.279
20220120T1100,4.1905284,0.279
20220120T1200,4.540529,0.268
20220120T1300,4.790529,0.268
20220120T1400,4.8505287,0.267
20220120T1500,3.9905286,0.268
20220120T1600,3.7005286,0.268
20220120T1700,2.4805286,0.268
20220120T1800,1.0305287,0.267
20220120T1900,0.23052865,0.267
20220120T2000,-0.08947134,0.267
20220120T2100,-0.25947133,0.267
20220120T2200,-0.46947134,0.267
20220120T2300,-0.50947136,0.268
20220121T0000,-0.76947135,0.268
20220121T0100,-1.0094713,0.268
20220121T0200,-1.3194714,0.268
20220121T0300,-1.5294713,0.268
20220121T0400,-1.6794714,0.268
20220121T0500,-1.8994713,0.268
